"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3540","Verify the login page with valid email and password","firefox","Sat Oct 25 01:42:28 UTC 2025","failed","Sat Oct 25 01:42:31 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3323","Verify the login page with invalid email","firefox","Sat Oct 25 01:42:35 UTC 2025","failed","Sat Oct 25 01:42:39 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","488","Verify the login page with invalid email","chromium","Sat Oct 25 01:42:15 UTC 2025","passed","Sat Oct 25 01:42:15 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","5907","Buying the first item Sauce Labs Backpack","chromium","Sat Oct 25 01:42:08 UTC 2025","failed","Sat Oct 25 01:42:14 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","504","Verify the login page with valid email and password","chromium","Sat Oct 25 01:42:14 UTC 2025","passed","Sat Oct 25 01:42:15 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3369","Verify the login page with invalid password","firefox","Sat Oct 25 01:42:43 UTC 2025","failed","Sat Oct 25 01:42:46 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","346","Verify the login page with invalid password","chromium","Sat Oct 25 01:42:15 UTC 2025","passed","Sat Oct 25 01:42:16 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","337","Verify the login page with invalid password","webkit","Sat Oct 25 01:42:52 UTC 2025","failed","Sat Oct 25 01:42:53 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","337","Verify the login page with invalid email","webkit","Sat Oct 25 01:42:51 UTC 2025","failed","Sat Oct 25 01:42:51 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","331","Verify the login page with valid email and password","webkit","Sat Oct 25 01:42:49 UTC 2025","failed","Sat Oct 25 01:42:50 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3318","Buying the first item Sauce Labs Backpack","firefox","Sat Oct 25 01:42:20 UTC 2025","failed","Sat Oct 25 01:42:23 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","333","Buying the first item Sauce Labs Backpack","webkit","Sat Oct 25 01:42:48 UTC 2025","failed","Sat Oct 25 01:42:48 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
